panoid,Latitude,Longitude,date,angle,type
cLZitfFmaUOoNaHACktEgA,-1.00670862041584,34.170749925659,2021-11,0,non_crop
cLZitfFmaUOoNaHACktEgA,-1.00670862041584,34.170749925659,2021-11,90,non_crop
cLZitfFmaUOoNaHACktEgA,-1.00670862041584,34.170749925659,2021-11,180,non_crop
cLZitfFmaUOoNaHACktEgA,-1.00670862041584,34.170749925659,2021-11,270,crop
3bZfZ_BP1QQOqX2Dcp8JOw,-1.00661922725851,34.1710445055841,2021-11,0,non_crop
3bZfZ_BP1QQOqX2Dcp8JOw,-1.00661922725851,34.1710445055841,2021-11,90,non_crop
3bZfZ_BP1QQOqX2Dcp8JOw,-1.00661922725851,34.1710445055841,2021-11,180,non_crop
3bZfZ_BP1QQOqX2Dcp8JOw,-1.00661922725851,34.1710445055841,2021-11,270,non_crop
mNh7PdyAV6lP1pvHPdNjLg,-1.00664461258146,34.1709362978584,2021-11,0,non_crop
mNh7PdyAV6lP1pvHPdNjLg,-1.00664461258146,34.1709362978584,2021-11,90,non_crop
mNh7PdyAV6lP1pvHPdNjLg,-1.00664461258146,34.1709362978584,2021-11,180,undecided
mNh7PdyAV6lP1pvHPdNjLg,-1.00664461258146,34.1709362978584,2021-11,270,non_crop
xP6Djw1f4d_sDvJooLMNPg,0.359463957280065,34.1706578427132,2021-11,0,non_crop
xP6Djw1f4d_sDvJooLMNPg,0.359463957280065,34.1706578427132,2021-11,90,undecided
xP6Djw1f4d_sDvJooLMNPg,0.359463957280065,34.1706578427132,2021-11,180,non_crop
xP6Djw1f4d_sDvJooLMNPg,0.359463957280065,34.1706578427132,2021-11,270,non_crop
K2c5t6yKAKDGDWAiu45GOQ,0.359044180548076,34.1711712994126,2018-06,0,crop
K2c5t6yKAKDGDWAiu45GOQ,0.359044180548076,34.1711712994126,2018-06,90,crop
K2c5t6yKAKDGDWAiu45GOQ,0.359044180548076,34.1711712994126,2018-06,180,non_crop
K2c5t6yKAKDGDWAiu45GOQ,0.359044180548076,34.1711712994126,2018-06,270,undecided
Hs1YsSOK1Nee5tY59hm3wA,0.358986280296588,34.171166546769,2021-11,0,crop
Hs1YsSOK1Nee5tY59hm3wA,0.358986280296588,34.171166546769,2021-11,90,non_crop
Hs1YsSOK1Nee5tY59hm3wA,0.358986280296588,34.171166546769,2021-11,180,non_crop
Hs1YsSOK1Nee5tY59hm3wA,0.358986280296588,34.171166546769,2021-11,270,undecided
9f1qtaPL8bHBvvLwwKgvaw,0.289139629362432,34.1717034241763,2021-11,0,non_crop
9f1qtaPL8bHBvvLwwKgvaw,0.289139629362432,34.1717034241763,2021-11,90,non_crop
9f1qtaPL8bHBvvLwwKgvaw,0.289139629362432,34.1717034241763,2021-11,180,crop
9f1qtaPL8bHBvvLwwKgvaw,0.289139629362432,34.1717034241763,2021-11,270,undecided
ZsDBWCoiE5-6a18Ut9VaEQ,0.288800712062057,34.1714217464035,2021-11,0,crop
ZsDBWCoiE5-6a18Ut9VaEQ,0.288800712062057,34.1714217464035,2021-11,90,non_crop
ZsDBWCoiE5-6a18Ut9VaEQ,0.288800712062057,34.1714217464035,2021-11,180,non_crop
ZsDBWCoiE5-6a18Ut9VaEQ,0.288800712062057,34.1714217464035,2021-11,270,crop
9f5pOhBSIvt75-4wjzlCMQ,0.28857493586853,34.1711964205248,2021-11,0,non_crop
9f5pOhBSIvt75-4wjzlCMQ,0.28857493586853,34.1711964205248,2021-11,90,non_crop
9f5pOhBSIvt75-4wjzlCMQ,0.28857493586853,34.1711964205248,2021-11,180,non_crop
9f5pOhBSIvt75-4wjzlCMQ,0.28857493586853,34.1711964205248,2021-11,270,non_crop
xK-QscViyIU7sLwHH15UUQ,0.107803855531399,34.1714213220615,2021-11,0,non_crop
xK-QscViyIU7sLwHH15UUQ,0.107803855531399,34.1714213220615,2021-11,90,non_crop
xK-QscViyIU7sLwHH15UUQ,0.107803855531399,34.1714213220615,2021-11,180,non_crop
xK-QscViyIU7sLwHH15UUQ,0.107803855531399,34.1714213220615,2021-11,270,non_crop
RhcW5e_F_drOQpfALUPCUg,-1.00647248413379,34.1715067844983,2021-11,0,non_crop
RhcW5e_F_drOQpfALUPCUg,-1.00647248413379,34.1715067844983,2021-11,90,non_crop
RhcW5e_F_drOQpfALUPCUg,-1.00647248413379,34.1715067844983,2021-11,180,non_crop
RhcW5e_F_drOQpfALUPCUg,-1.00647248413379,34.1715067844983,2021-11,270,non_crop
EaJx3-gv0b3vWt-hng6gpA,-1.00650402721135,34.1714165694311,2021-11,0,non_crop
EaJx3-gv0b3vWt-hng6gpA,-1.00650402721135,34.1714165694311,2021-11,90,non_crop
EaJx3-gv0b3vWt-hng6gpA,-1.00650402721135,34.1714165694311,2021-11,180,non_crop
EaJx3-gv0b3vWt-hng6gpA,-1.00650402721135,34.1714165694311,2021-11,270,non_crop
VymDaafGbxN7NpxnnQN-Bw,0.35854732689141,34.1716568315594,2021-11,0,non_crop
VymDaafGbxN7NpxnnQN-Bw,0.35854732689141,34.1716568315594,2021-11,90,non_crop
VymDaafGbxN7NpxnnQN-Bw,0.35854732689141,34.1716568315594,2021-11,180,non_crop
VymDaafGbxN7NpxnnQN-Bw,0.35854732689141,34.1716568315594,2021-11,270,non_crop
cNcpOKZallgwG_6NawnhPw,0.358321675875238,34.1719060890491,2021-11,0,undecided
cNcpOKZallgwG_6NawnhPw,0.358321675875238,34.1719060890491,2021-11,90,undecided
cNcpOKZallgwG_6NawnhPw,0.358321675875238,34.1719060890491,2021-11,180,non_crop
cNcpOKZallgwG_6NawnhPw,0.358321675875238,34.1719060890491,2021-11,270,non_crop
zp8CC_cqsduLbZ-ap0QbmQ,0.290085342247443,34.1723075983864,2021-11,0,non_crop
zp8CC_cqsduLbZ-ap0QbmQ,0.290085342247443,34.1723075983864,2021-11,90,undecided
zp8CC_cqsduLbZ-ap0QbmQ,0.290085342247443,34.1723075983864,2021-11,180,non_crop
zp8CC_cqsduLbZ-ap0QbmQ,0.290085342247443,34.1723075983864,2021-11,270,non_crop
xU6ZmBJ_2LoLJMIuTBav1w,0.28967198572082,34.1720970417155,2021-11,0,non_crop
xU6ZmBJ_2LoLJMIuTBav1w,0.28967198572082,34.1720970417155,2021-11,90,non_crop
xU6ZmBJ_2LoLJMIuTBav1w,0.28967198572082,34.1720970417155,2021-11,180,non_crop
xU6ZmBJ_2LoLJMIuTBav1w,0.28967198572082,34.1720970417155,2021-11,270,non_crop
k1_smmN0weh1gY-jf-w98A,0.289342560905677,34.171852707098,2021-11,0,non_crop
k1_smmN0weh1gY-jf-w98A,0.289342560905677,34.171852707098,2021-11,90,non_crop
