Unnamed: 0;panoid;Latitude;Longitude;date;angle;type
0;hedaOH-O5RDEj6xyBML0aw;12.3399930681815;8.1485878682129;2021-09;0;collected_point
1;hedaOH-O5RDEj6xyBML0aw;12.3399930681815;8.1485878682129;2021-09;90;collected_point
2;hedaOH-O5RDEj6xyBML0aw;12.3399930681815;8.1485878682129;2021-09;180;crop
3;hedaOH-O5RDEj6xyBML0aw;12.3399930681815;8.1485878682129;2021-09;270;crop
4;jP_71tbX7Oe2dyclXoAIUg;12.3405727805277;8.14756932093388;2021-09;0;crop
5;jP_71tbX7Oe2dyclXoAIUg;12.3405727805277;8.14756932093388;2021-09;90;crop
6;jP_71tbX7Oe2dyclXoAIUg;12.3405727805277;8.14756932093388;2021-09;180;crop
7;jP_71tbX7Oe2dyclXoAIUg;12.3405727805277;8.14756932093388;2021-09;270;crop
8;TsmX9IRuie7R-cAXcJEn_Q;12.3475650501633;8.13531260764206;2021-09;0;crop
9;TsmX9IRuie7R-cAXcJEn_Q;12.3475650501633;8.13531260764206;2021-09;90;collected_point
10;TsmX9IRuie7R-cAXcJEn_Q;12.3475650501633;8.13531260764206;2021-09;180;collected_point
11;TsmX9IRuie7R-cAXcJEn_Q;12.3475650501633;8.13531260764206;2021-09;270;crop
12;Tt4vJhZ7FJ9IPiiAl4S2BQ;12.3480542304985;8.13447001390755;2021-09;0;crop
13;Tt4vJhZ7FJ9IPiiAl4S2BQ;12.3480542304985;8.13447001390755;2021-09;90;crop
14;Tt4vJhZ7FJ9IPiiAl4S2BQ;12.3480542304985;8.13447001390755;2021-09;180;collected_point
15;Tt4vJhZ7FJ9IPiiAl4S2BQ;12.3480542304985;8.13447001390755;2021-09;270;collected_point
16;mdGm_Endq0p9NtqbVQTigA;12.3485266355884;8.13368993580251;2021-09;0;crop
17;mdGm_Endq0p9NtqbVQTigA;12.3485266355884;8.13368993580251;2021-09;90;crop
18;mdGm_Endq0p9NtqbVQTigA;12.3485266355884;8.13368993580251;2021-09;180;collected_point
19;mdGm_Endq0p9NtqbVQTigA;12.3485266355884;8.13368993580251;2021-09;270;collected_point
20;sJ77I_3vpRxGJ0mZKx_L4g;12.349048774112;8.13273068452646;2021-09;0;collected_point
21;sJ77I_3vpRxGJ0mZKx_L4g;12.349048774112;8.13273068452646;2021-09;90;crop
22;sJ77I_3vpRxGJ0mZKx_L4g;12.349048774112;8.13273068452646;2021-09;180;detected_crop
23;sJ77I_3vpRxGJ0mZKx_L4g;12.349048774112;8.13273068452646;2021-09;270;detected_crop
24;oeNUHD0hQcqMxfP0upV2Nw;12.3495077189562;8.1319572921622;2021-09;0;collected_point
25;oeNUHD0hQcqMxfP0upV2Nw;12.3495077189562;8.1319572921622;2021-09;90;collected_point
26;oeNUHD0hQcqMxfP0upV2Nw;12.3495077189562;8.1319572921622;2021-09;180;collected_point
27;oeNUHD0hQcqMxfP0upV2Nw;12.3495077189562;8.1319572921622;2021-09;270;collected_point
28;BkZHK4Z1q3s4psPYMvlQxw;12.350004640996;8.13112557116406;2021-09;0;crop
29;BkZHK4Z1q3s4psPYMvlQxw;12.350004640996;8.13112557116406;2021-09;90;crop
30;BkZHK4Z1q3s4psPYMvlQxw;12.350004640996;8.13112557116406;2021-09;180;collected_point
31;BkZHK4Z1q3s4psPYMvlQxw;12.350004640996;8.13112557116406;2021-09;270;collected_point
32;Xl9PTiy_5tqgv_lNstaRlw;12.3505148811953;8.13023977373006;2021-09;0;crop
33;Xl9PTiy_5tqgv_lNstaRlw;12.3505148811953;8.13023977373006;2021-09;90;crop
34;Xl9PTiy_5tqgv_lNstaRlw;12.3505148811953;8.13023977373006;2021-09;180;collected_point
35;Xl9PTiy_5tqgv_lNstaRlw;12.3505148811953;8.13023977373006;2021-09;270;collected_point
36;mHqjxcv6uR1exentU-kr1g;12.3509806035372;8.12936140398484;2021-09;0;collected_point
37;mHqjxcv6uR1exentU-kr1g;12.3509806035372;8.12936140398484;2021-09;90;collected_point
38;mHqjxcv6uR1exentU-kr1g;12.3509806035372;8.12936140398484;2021-09;180;collected_point
39;mHqjxcv6uR1exentU-kr1g;12.3509806035372;8.12936140398484;2021-09;270;collected_point
40;ev-nOFSJvdDRN_3RDiZmQw;12.3515771135201;8.12856521345496;2021-09;0;collected_point
41;ev-nOFSJvdDRN_3RDiZmQw;12.3515771135201;8.12856521345496;2021-09;90;collected_point
42;ev-nOFSJvdDRN_3RDiZmQw;12.3515771135201;8.12856521345496;2021-09;180;collected_point
